title,source,section,published,summary,url
Artificial Intelligence: A Modern Approach,GitHub: owainlewis/awesome-artificial-intelligence,Books,2026-08-15 00:00,"The broad reference for classical AI, including search, reasoning, planning, learning, and robotics.",https://aima.cs.berkeley.edu/
Reinforcement Learning: An Introduction,GitHub: owainlewis/awesome-artificial-intelligence,Books,2026-08-15 00:00,Sutton and Barto's foundational treatment of reinforcement learning concepts and algorithms.,https://web.stanford.edu/class/psych209/Readings/SuttonBartoIPRLBook2ndEd.pdf
Machine Learning Bookcamp,GitHub: owainlewis/awesome-artificial-intelligence,Books,2026-08-15 00:00,A project-based introduction to building and deploying machine learning systems by Alexey Grigorev.,https://www.manning.com/books/machine-learning-bookcamp
Designing Machine Learning Systems,GitHub: owainlewis/awesome-artificial-intelligence,Books,2026-08-15 00:00,"Scalable, maintainable machine learning systems by Chip Huyen.",https://www.oreilly.com/library/view/designing-machine-learning/9781098107956/
AI Engineering,GitHub: owainlewis/awesome-artificial-intelligence,Books,2026-08-15 00:00,Building applications with foundation models by Chip Huyen.,https://www.oreilly.com/library/view/ai-engineering/9781098166298/
Build a Large Language Model from Scratch,GitHub: owainlewis/awesome-artificial-intelligence,Books,2026-08-15 00:00,Implement transformers in PyTorch with Sebastian Raschka.,https://www.manning.com/books/build-a-large-language-model-from-scratch
Hands-On Large Language Models,GitHub: owainlewis/awesome-artificial-intelligence,Books,2026-08-15 00:00,A visual and practical guide by Jay Alammar and Maarten Grootendorst.,https://www.llm-book.com/
LLM Engineer's Handbook,GitHub: owainlewis/awesome-artificial-intelligence,Books,2026-08-15 00:00,"LLMOps, fine-tuning, serving, and production workflows.",https://www.packtpub.com/en-us/product/llm-engineers-handbook-9781836200079
The 100-Page Language Models Book,GitHub: owainlewis/awesome-artificial-intelligence,Books,2026-08-15 00:00,"A concise, technical introduction by Andriy Burkov.",https://www.thelmbook.com/
Deep Learning,GitHub: owainlewis/awesome-artificial-intelligence,Books,2026-08-15 00:00,"Mathematical foundations by Ian Goodfellow, Yoshua Bengio, and Aaron Courville.",https://www.deeplearningbook.org/
Deep Learning: Foundations and Concepts,GitHub: owainlewis/awesome-artificial-intelligence,Books,2026-08-15 00:00,A probability-grounded treatment by Christopher and Hugh Bishop.,https://www.bishopbook.com/
Understanding Deep Learning,GitHub: owainlewis/awesome-artificial-intelligence,Books,2026-08-15 00:00,"Theory, intuition, and practical notebooks by Simon Prince.",https://udlbook.github.io/udlbook/
Speech and Language Processing,GitHub: owainlewis/awesome-artificial-intelligence,Books,2026-08-15 00:00,The continuously updated NLP reference by Dan Jurafsky and James Martin.,https://web.stanford.edu/~jurafsky/slp3/
AI Engineer,GitHub: owainlewis/awesome-artificial-intelligence,Courses,2026-08-15 00:00,"A paid program for agentic coding and building, testing, and shipping production AI systems.",https://aiengineer.co/
Hugging Face LLM Course,GitHub: owainlewis/awesome-artificial-intelligence,Courses,2026-08-15 00:00,"Transformers, fine-tuning, datasets, and modern NLP tooling.",https://huggingface.co/learn/llm-course/chapter1/1
Full Stack Deep Learning,GitHub: owainlewis/awesome-artificial-intelligence,Courses,2026-08-15 00:00,The full lifecycle of building and shipping AI products.,https://fullstackdeeplearning.com/
Fast.ai Practical Deep Learning,GitHub: owainlewis/awesome-artificial-intelligence,Courses,2026-08-15 00:00,A code-first introduction to deep learning.,https://course.fast.ai/
Karpathy's Neural Networks: Zero to Hero,GitHub: owainlewis/awesome-artificial-intelligence,Courses,2026-08-15 00:00,Build neural networks and language models from first principles.,https://www.youtube.com/playlist?list=PLAqhIrjkxbuWI23v9cThsA9GvCAUhRvKZ
Stanford CS336: Language Modeling from Scratch,GitHub: owainlewis/awesome-artificial-intelligence,Courses,2026-08-15 00:00,Build language models from data preparation through evaluation and deployment.,https://cs336.stanford.edu/
MIT 6.S191: Introduction to Deep Learning,GitHub: owainlewis/awesome-artificial-intelligence,Courses,2026-08-15 00:00,Deep learning foundations and applications.,https://introtodeeplearning.com/
Google Generative AI Learning Path,GitHub: owainlewis/awesome-artificial-intelligence,Courses,2026-08-15 00:00,An introductory path through generative AI concepts and Google Cloud tooling.,https://www.cloudskillsboost.google/paths/118
DeepLearning.AI Short Courses,GitHub: owainlewis/awesome-artificial-intelligence,Courses,2026-08-15 00:00,Focused courses on current generative AI engineering techniques.,https://learn.deeplearning.ai/
Made With ML,GitHub: owainlewis/awesome-artificial-intelligence,Courses,2026-08-15 00:00,"An open course on designing, developing, deploying, and iterating on production ML systems.",https://madewithml.com/
Attention Is All You Need,GitHub: owainlewis/awesome-artificial-intelligence,Foundational papers,2026-08-15 00:00,Introduced the Transformer architecture.,https://arxiv.org/abs/1706.03762
Scaling Laws for Neural Language Models,GitHub: owainlewis/awesome-artificial-intelligence,Foundational papers,2026-08-15 00:00,"Explored relationships between model performance, data, and compute.",https://arxiv.org/abs/2001.08361
Training Compute-Optimal Large Language Models,GitHub: owainlewis/awesome-artificial-intelligence,Foundational papers,2026-08-15 00:00,Showed how model size and training data should scale together under a compute budget.,https://arxiv.org/abs/2203.15556
Language Models are Few-Shot Learners,GitHub: owainlewis/awesome-artificial-intelligence,Foundational papers,2026-08-15 00:00,Demonstrated in-context learning at scale.,https://arxiv.org/abs/2005.14165
Retrieval-Augmented Generation,GitHub: owainlewis/awesome-artificial-intelligence,Foundational papers,2026-08-15 00:00,Combined parametric language models with external retrieval for knowledge-intensive tasks.,https://arxiv.org/abs/2005.11401
LoRA,GitHub: owainlewis/awesome-artificial-intelligence,Foundational papers,2026-08-15 00:00,Introduced low-rank adaptation for parameter-efficient model fine-tuning.,https://arxiv.org/abs/2106.09685
Training Language Models to Follow Instructions with Human Feedback,GitHub: owainlewis/awesome-artificial-intelligence,Foundational papers,2026-08-15 00:00,Established the instruction tuning and RLHF recipe used by InstructGPT.,https://arxiv.org/abs/2203.02155
ReAct,GitHub: owainlewis/awesome-artificial-intelligence,Foundational papers,2026-08-15 00:00,Combined reasoning traces with actions for tool-using language-model agents.,https://arxiv.org/abs/2210.03629
Constitutional AI,GitHub: owainlewis/awesome-artificial-intelligence,Foundational papers,2026-08-15 00:00,A method for training helpful and harmless AI assistants using written principles.,https://arxiv.org/abs/2212.08073
Direct Preference Optimization,GitHub: owainlewis/awesome-artificial-intelligence,Foundational papers,2026-08-15 00:00,Reframed preference alignment as a simple classification objective without explicit reward modelling.,https://arxiv.org/abs/2305.18290
Building Effective Agents,GitHub: owainlewis/awesome-artificial-intelligence,Guides and playbooks,2026-08-15 00:00,Anthropic's practical patterns and tradeoffs for agentic systems.,https://www.anthropic.com/engineering/building-effective-agents
A Practical Guide to Building Agents,GitHub: owainlewis/awesome-artificial-intelligence,Guides and playbooks,2026-08-15 00:00,"OpenAI's guide to models, tools, instructions, orchestration, and guardrails.",https://cdn.openai.com/business-guides-and-resources/a-practical-guide-to-building-agents.pdf
Awesome DeepSeek Agent,GitHub: owainlewis/awesome-artificial-intelligence,Guides and playbooks,2026-08-15 00:00,"DeepSeek's official setup guides for integrating its models with coding agents including Claude Code, Codex, Cline, OpenCode, and Pi.",https://github.com/deepseek-ai/awesome-deepseek-agent
OpenAI Cookbook,GitHub: owainlewis/awesome-artificial-intelligence,LLM application engineering,2026-08-15 00:00,"Code examples for structured outputs, tool use, retrieval, evals, and other LLM application patterns.",https://cookbook.openai.com/
Anthropic Prompt Engineering,GitHub: owainlewis/awesome-artificial-intelligence,LLM application engineering,2026-08-15 00:00,"Techniques for defining success criteria, testing prompts, and improving model behaviour.",https://docs.anthropic.com/en/docs/build-with-claude/prompt-engineering/overview
Effective Context Engineering for AI Agents,GitHub: owainlewis/awesome-artificial-intelligence,LLM application engineering,2026-08-15 00:00,"How to select, structure, and manage the context available to long-running agents.",https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents
